,SeriesInstanceUID,StudyInstanceUID
137,1.3.6.1.4.1.14519.5.2.1.3320.3273.214329381572937677199994866708,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
138,1.3.6.1.4.1.14519.5.2.1.3320.3273.136222299744983253076550315707,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
139,1.3.6.1.4.1.14519.5.2.1.3320.3273.315402805205692666916726816906,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
140,1.3.6.1.4.1.14519.5.2.1.3320.3273.329629273051669468851825315497,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
141,1.3.6.1.4.1.14519.5.2.1.3320.3273.184585011868976947134004225816,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
142,1.3.6.1.4.1.14519.5.2.1.3320.3273.237056230592746030934534256102,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
143,1.3.6.1.4.1.14519.5.2.1.3320.3273.977479172467729215900970860323,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
144,1.3.6.1.4.1.14519.5.2.1.3320.3273.257397207340887810249102169151,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
145,1.3.6.1.4.1.14519.5.2.1.3320.3273.105241146185381353714884851328,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
146,1.3.6.1.4.1.14519.5.2.1.3320.3273.418515413419720584098310147956,1.3.6.1.4.1.14519.5.2.1.3320.3273.212577989827553176330503522006
147,1.3.6.1.4.1.14519.5.2.1.3320.3273.106605509321152968961418804701,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
148,1.3.6.1.4.1.14519.5.2.1.3320.3273.303748734517128234748433280334,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
149,1.3.6.1.4.1.14519.5.2.1.3320.3273.316477319963991521989550087776,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
150,1.3.6.1.4.1.14519.5.2.1.3320.3273.228735515688857890824109590400,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
151,1.3.6.1.4.1.14519.5.2.1.3320.3273.186025311253044540100909189533,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
152,1.3.6.1.4.1.14519.5.2.1.3320.3273.314682547142080271855739542386,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
153,1.3.6.1.4.1.14519.5.2.1.3320.3273.339829732628277794319557147635,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
154,1.3.6.1.4.1.14519.5.2.1.3320.3273.276121118877927262219608346651,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
155,1.3.6.1.4.1.14519.5.2.1.3320.3273.291456967750141512790017382037,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
156,1.3.6.1.4.1.14519.5.2.1.3320.3273.208853798488835760528815006300,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
157,1.3.6.1.4.1.14519.5.2.1.3320.3273.224373608380008033612547211472,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
158,1.3.6.1.4.1.14519.5.2.1.3320.3273.250237681557777851838393761605,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
159,1.3.6.1.4.1.14519.5.2.1.3320.3273.116420966559542364562864037285,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
160,1.3.6.1.4.1.14519.5.2.1.3320.3273.214279621755123136648834428537,1.3.6.1.4.1.14519.5.2.1.3320.3273.236297739954578258352997177536
161,1.3.6.1.4.1.14519.5.2.1.3320.3273.319788362065045285080486761673,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
162,1.3.6.1.4.1.14519.5.2.1.3320.3273.126042181507451744351408881228,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
163,1.3.6.1.4.1.14519.5.2.1.3320.3273.987645228590045817506056306947,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
164,1.3.6.1.4.1.14519.5.2.1.3320.3273.166569739262069734537759207031,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
165,1.3.6.1.4.1.14519.5.2.1.3320.3273.142184796276499464193092850640,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
166,1.3.6.1.4.1.14519.5.2.1.3320.3273.250482244691389911967794154394,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
167,1.3.6.1.4.1.14519.5.2.1.3320.3273.686834637942765346690436445829,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
168,1.3.6.1.4.1.14519.5.2.1.3320.3273.134467096209564932638892393655,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
169,1.3.6.1.4.1.14519.5.2.1.3320.3273.379041512100467814289226048612,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
170,1.3.6.1.4.1.14519.5.2.1.3320.3273.292404173784853592345133274365,1.3.6.1.4.1.14519.5.2.1.3320.3273.165499798146135086280648052830
171,1.3.6.1.4.1.14519.5.2.1.3320.3273.950813720606406605873819391776,1.3.6.1.4.1.14519.5.2.1.3320.3273.202845434583832420786532899994
172,1.3.6.1.4.1.14519.5.2.1.3320.3273.296373915419533557858428156267,1.3.6.1.4.1.14519.5.2.1.3320.3273.202845434583832420786532899994
173,1.3.6.1.4.1.14519.5.2.1.3320.3273.131631886946427758787100657788,1.3.6.1.4.1.14519.5.2.1.3320.3273.202845434583832420786532899994
174,1.3.6.1.4.1.14519.5.2.1.3320.3273.167955160116991372007788548926,1.3.6.1.4.1.14519.5.2.1.3320.3273.293665903142457581490353534076
175,1.3.6.1.4.1.14519.5.2.1.3320.3273.160859895027557678665338792979,1.3.6.1.4.1.14519.5.2.1.3320.3273.293665903142457581490353534076
176,1.3.6.1.4.1.14519.5.2.1.3320.3273.238115469718105167040841182397,1.3.6.1.4.1.14519.5.2.1.3320.3273.293665903142457581490353534076
177,1.3.6.1.4.1.14519.5.2.1.3320.3273.988492381004531730436463033117,1.3.6.1.4.1.14519.5.2.1.3320.3273.293665903142457581490353534076
